date,samsung_price,samsung_change
2021-10-31,69800,0.00%
2021-10-29,69800,-1.27%
2021-10-28,70700,0.86%
2021-10-27,70100,-1.41%
2021-10-26,71100,1.28%
2021-10-25,70200,-0.28%
2021-10-24,70400,0.00%
2021-10-22,70400,0.28%
2021-10-21,70200,-0.14%
2021-10-20,70300,-0.42%
2021-10-19,70600,0.57%
2021-10-18,70200,0.14%
2021-10-17,70100,0.00%
2021-10-15,70100,1.01%
2021-10-14,69400,0.87%
2021-10-13,68800,-0.29%
2021-10-12,69000,-3.50%
2021-10-11,71500,0.00%
2021-10-08,71500,-0.14%
2021-10-07,71600,0.42%
2021-10-06,71300,-1.25%
2021-10-05,72200,-1.37%
2021-10-04,73200,0.00%
2021-10-01,73200,-1.21%
2021-09-30,74100,0.00%
2021-09-29,74100,-2.88%
2021-09-28,76300,-1.80%
2021-09-27,77700,0.52%
2021-09-26,77300,0.00%
2021-09-24,77300,-0.13%
2021-09-23,77400,0.26%
2021-09-22,77200,0.00%
2021-09-17,77200,1.45%
2021-09-16,76100,-1.17%
2021-09-15,77000,0.52%
2021-09-14,76600,0.39%
2021-09-13,76300,1.33%
2021-09-12,75300,0.00%
2021-09-10,75300,0.00%
2021-09-09,75300,-1.31%
2021-09-08,76300,0.26%
2021-09-07,76100,-1.55%
2021-09-06,77300,0.91%
2021-09-05,76600,0.00%
2021-09-03,76600,0.79%
2021-09-02,76000,-1.04%
2021-09-01,76800,0.13%
2021-08-31,76700,2.82%
2021-08-30,74600,0.40%
2021-08-29,74300,0.00%
2021-08-27,74300,-0.40%
2021-08-26,74600,-1.45%
2021-08-25,75700,0.13%
2021-08-24,75600,3.14%
2021-08-23,73300,0.83%
2021-08-22,72700,0.00%
2021-08-20,72700,-0.55%
2021-08-19,73100,-1.08%
2021-08-18,73900,-0.40%
2021-08-17,74200,-0.27%
2021-08-16,74400,0.00%
2021-08-13,74400,-3.38%
2021-08-12,77000,-1.91%
2021-08-11,78500,-2.12%
2021-08-10,80200,-1.60%
2021-08-09,81500,0.00%
2021-08-08,81500,0.00%
2021-08-06,81500,-0.73%
2021-08-05,82100,-0.97%
2021-08-04,82900,1.84%
2021-08-03,81400,2.65%
2021-08-02,79300,1.02%
2021-08-01,78500,0.00%
2021-07-30,78500,-0.63%
2021-07-29,79000,-0.25%
2021-07-28,79200,0.89%
2021-07-27,78500,-0.38%
2021-07-26,78800,-0.63%
2021-07-25,79300,0.00%
2021-07-23,79300,-0.50%
2021-07-22,79700,1.53%
2021-07-21,78500,-0.63%
2021-07-20,79000,0.00%
2021-07-19,79000,-1.00%
2021-07-18,79800,0.00%
2021-07-16,79800,-0.99%
2021-07-15,80600,1.38%
2021-07-14,79500,-0.38%
2021-07-13,79800,0.13%
2021-07-12,79700,0.38%
2021-07-11,79400,0.00%
2021-07-09,79400,-0.63%
2021-07-08,79900,-1.11%
2021-07-07,80800,-0.49%
2021-07-06,81200,1.00%
2021-07-05,80400,0.50%
2021-07-04,80000,0.00%
2021-07-02,80000,-0.12%
2021-07-01,80100,-0.74%
2021-06-30,80700,-0.37%
2021-06-29,81000,-1.10%
2021-06-28,81900,0.37%
2021-06-27,81600,0.00%
2021-06-25,81600,0.49%
2021-06-24,81200,1.37%
2021-06-23,80100,0.13%
2021-06-22,80000,0.13%
2021-06-21,79900,-0.75%
2021-06-20,80500,0.00%
2021-06-18,80500,-0.49%
2021-06-17,80900,-1.10%
2021-06-16,81800,1.11%
2021-06-15,80900,0.50%
2021-06-14,80500,-0.62%
2021-06-13,81000,0.00%
2021-06-11,81000,0.00%
2021-06-10,81000,-0.12%
2021-06-09,81100,-0.98%
2021-06-08,81900,0.00%
2021-06-07,81900,-0.36%
2021-06-06,82200,0.00%
2021-06-04,82200,-0.72%
2021-06-03,82800,2.48%
2021-06-02,80800,0.25%
2021-06-01,80600,0.12%
2021-05-31,80500,0.50%
2021-05-30,80100,0.00%
2021-05-28,80100,0.63%
2021-05-27,79600,-0.25%
2021-05-26,79800,-0.13%
2021-05-25,79900,0.25%
2021-05-24,79700,-0.50%
2021-05-23,80100,0.00%
2021-05-21,80100,0.75%
2021-05-20,79500,-0.13%
2021-05-19,79600,0.00%
2021-05-18,79600,0.00%
2021-05-17,79600,-0.62%
2021-05-16,80100,0.00%
2021-05-14,80100,2.04%
2021-05-13,78500,-1.88%
2021-05-12,80000,-1.48%
2021-05-11,81200,-2.40%
2021-05-10,83200,1.59%
2021-05-09,81900,0.00%
2021-05-07,81900,-0.49%
2021-05-06,82300,-0.36%
2021-05-05,82600,0.00%
2021-05-04,82600,1.10%
2021-05-03,81700,0.25%
2021-05-02,81500,0.00%
2021-04-30,81500,-0.24%
2021-04-29,81700,-0.49%
2021-04-28,82100,-0.97%
2021-04-27,82900,-0.72%
2021-04-26,83500,0.85%
2021-04-25,82800,0.00%
2021-04-23,82800,0.49%
2021-04-22,82400,-0.24%
2021-04-21,82600,-1.55%
2021-04-20,83900,0.72%
2021-04-19,83300,-0.72%
2021-04-18,83900,0.00%
2021-04-16,83900,-0.24%
2021-04-15,84100,0.12%
2021-04-14,84000,0.00%
2021-04-13,84000,0.96%
2021-04-12,83200,-0.48%
2021-04-11,83600,0.00%
2021-04-09,83600,-1.30%
2021-04-08,84700,-1.05%
2021-04-07,85600,-0.47%
2021-04-06,86000,0.70%
2021-04-05,85400,0.71%
2021-04-04,84800,0.00%
2021-04-02,84800,2.29%
2021-04-01,82900,1.84%
2021-03-31,81400,-0.97%
2021-03-30,82200,0.74%
2021-03-29,81600,0.12%
2021-03-28,81500,0.00%
2021-03-26,81500,0.37%
2021-03-25,81200,0.25%
2021-03-24,81000,-0.98%
2021-03-23,81800,-0.24%
2021-03-22,82000,0.12%
2021-03-21,81900,0.00%
2021-03-19,81900,-1.21%
2021-03-18,82900,0.73%
2021-03-17,82300,-0.60%
2021-03-16,82800,1.22%
2021-03-15,81800,-1.21%
2021-03-14,82800,0.00%
2021-03-12,82800,0.98%
2021-03-11,82000,1.36%
2021-03-10,80900,-0.61%
2021-03-09,81400,-0.73%
2021-03-08,82000,-0.12%
2021-03-07,82100,0.00%
2021-03-05,82100,-0.36%
2021-03-04,82400,-1.90%
2021-03-03,84000,0.48%
2021-03-02,83600,1.33%
2021-03-01,82500,0.00%
2021-02-26,82500,-3.28%
2021-02-25,85300,4.02%
2021-02-24,82000,0.00%
2021-02-23,82000,-0.24%
2021-02-22,82200,-0.48%
2021-02-21,82600,0.00%
2021-02-19,82600,0.61%
2021-02-18,82100,-1.32%
2021-02-17,83200,-2.00%
2021-02-16,84900,0.83%
2021-02-15,84200,3.19%
2021-02-14,81600,0.00%
2021-02-10,81600,-1.33%
2021-02-09,82700,-0.36%
2021-02-08,83000,-0.60%
2021-02-07,83500,0.00%
2021-02-05,83500,1.21%
2021-02-04,82500,-2.48%
2021-02-03,84600,0.24%
2021-02-02,84400,1.69%
2021-02-01,83000,1.22%
2021-01-31,82000,0.00%
2021-01-29,82000,-2.03%
2021-01-28,83700,-2.22%
2021-01-27,85600,-1.27%
2021-01-26,86700,-3.02%
2021-01-25,89400,3.00%
2021-01-24,86800,0.00%
2021-01-22,86800,-1.48%
2021-01-21,88100,1.03%
2021-01-20,87200,0.23%
2021-01-19,87000,2.35%
2021-01-18,85000,-3.41%
2021-01-17,88000,0.00%
2021-01-15,88000,-1.90%
2021-01-14,89700,0.00%
2021-01-13,89700,-0.99%
2021-01-12,90600,-0.44%
2021-01-11,91000,2.48%
2021-01-10,88800,0.00%
2021-01-08,88800,7.12%
2021-01-07,82900,0.85%
2021-01-06,82200,-2.03%
2021-01-05,83900,1.08%
2021-01-04,83000,2.47%
